author,desc,genre,img,release,score,time,title
Masaki Kobayashi,"Japon, 17ème siècle. Le samouraï Tsugumo vient se présenter à la demeure du clan Lyi. Il veut se faire Hara-kiri. Mais le maître des lieux essaie bien de l'en dissuader. Tsugumo livre alors dans un récit les vraies raisons de son geste...",Drame,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/66/97/39/18965657.jpg,None,"4,6,4,4",2h 13min,Harakiri
Martin Scorsese,"1954. Teddy Daniels et Chuck Aule enquêtent sur la disparition d'une patiente échappée d'un hôpital psychiatrique à sécurité maximale. L'hôpital en question est basé sur Shutter Island, une île située à environ une heure au large de Boston.",Thriller,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/69/96/84/19151192.jpg,None,"3,8,4,4",2h 17min,Shutter Island
Stanley Kubrick,"Pendant la guerre du Viêt Nam, la préparation et l'entrainement d'un groupe de jeunes marines, jusqu'au terrible baptême du feu et la sanglante offensive du Tết à Huế, en 1968.","Drame,Guerre","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,8,4,4",1h 56min,Full Metal Jacket
Xavier Dolan,"Une veuve mono-parentale hérite de la garde de son fils, un adolescent profondément turbulent. Ensemble, ils tentent de joindre les deux bouts, notamment grâce à l’aide inattendue de la mystérieuse voisine d’en face, Kyla.",Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,3,4,4",2h 19min,Mommy
Quentin Tarantino,L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.,"Policier,Thriller",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/02/52/18846059.jpg,None,"4,4,4,5",2h 29min,Pulp Fiction
Mamoru Hosoda,"Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...","Animation,Fantastique",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/90/30/39/20090421.jpg,None,"4,1,4,4",1h 57min,"Les Enfants Loups, Ame & Yuki"
Bryan Singer,"Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.","Biopic,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"3,0,4,4",2h 15min,Bohemian Rhapsody
David Lynch,"Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère. ","Biopic,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,8,4,4",2h 05min,Elephant Man
Tim Burton,"Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...","Comédie,Fantastique,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,4,4,4",1h 45min,Edward aux mains d'argent
None,"De l'Irlande à la Prusse, l'histoire d'un jeune intriguant et de son ascension dans la fastueuse société du XVIIIème siècle...","Aventure,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"5,0,4,4",3h 07min,Barry Lyndon
Sergio Leone,Un mystérieux desperado pourchasse sans relâche un dangereux criminel.,Western,https://fr.web.img3.acsta.net/c_310_420/pictures/16/07/19/17/05/434841.jpg,None,"4,0,4,5",2h 55min,Il était une fois dans l'Ouest
None,"Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...",Western,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,1,4,5",3h 00min,"Le Bon, la brute et le truand"
None,"Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.","Policier,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,9,4,5",3h 40min,Il était une fois en Amérique
Michael Cimino,"Cinq ouvriers sidérurgistes affrontent les hauts fourneaux d'une petite ville de Pennsylvannie et partent ensemble chasser le cerf. Parce que c'est la guerre au Vietnam, trois d'entre eux deviennent soldats sur le départ...","Drame,Guerre",https://fr.web.img5.acsta.net/c_310_420/pictures/18/07/11/14/11/3748550.jpg,None,"4,7,4,4",3h 03min,Voyage au bout de l'enfer
Francis Ford Coppola,"Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives...","Drame,Guerre","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",None,"4,8,4,4",3h 02min,Apocalypse Now Final Cut
