cours,hight,indice,low,open_,time,var
9.088 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,2022-10-26 15:10:56.602477,-0.07%
132.200 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,2022-10-26 15:10:56.605478,-0.23%
105.260 ,105.880 ,AIRBUS,104.300 ,104.360 ,2022-10-26 15:10:56.607478,+1.15%
19.985 ,20.030 ,ALSTOM,19.230 ,19.240 ,2022-10-26 15:10:56.609478,+3.82%
47.985 ,48.565 ,DANONE,47.685 ,48.455 ,2022-10-26 15:10:56.611477,-1.23%
47.335 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,2022-10-26 15:10:56.613477,0.00%
15.265 ,15.595 ,CARREFOUR,15.175 ,15.535 ,2022-10-26 15:10:56.615479,-1.77%
173.350 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 15:10:56.616477,+0.20%
24.865 ,25.035 ,AXA,24.755 ,24.910 ,2022-10-26 15:10:56.618478,-0.42%
91.790 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 15:10:56.620477,+1.77%
34.530 ,35.795 ,DASSAULT SYSTEMES,34.480 ,35.340 ,2022-10-26 15:10:56.622478,-5.85%
164.800 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,2022-10-26 15:10:56.624478,-0.12%
28.370 ,28.400 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 15:10:56.625477,+0.85%
13.020 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 15:10:56.627479,-0.17%
65.060 ,65.220 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,2022-10-26 15:10:56.629478,+0.12%
23.260 ,23.470 ,SOCIETE GENERALE,23.195 ,23.375 ,2022-10-26 15:10:56.630477,-0.04%
125.600 ,125.750 ,THALES,122.150 ,122.250 ,2022-10-26 15:10:56.632480,+3.29%
471.650 ,476.250 ,KERING,470.250 ,472.750 ,2022-10-26 15:10:56.634477,-0.16%
78.300 ,78.320 ,LEGRAND,76.100 ,76.260 ,2022-10-26 15:10:56.635477,+2.43%
653.400 ,663.600 ,LVMH,651.100 ,659.400 ,2022-10-26 15:10:56.637478,-0.70%
24.655 ,24.810 ,MICHELIN,23.700 ,23.700 ,2022-10-26 15:10:56.640480,-3.43%
318.700 ,322.900 ,L'OREAL,318.100 ,321.400 ,2022-10-26 15:10:56.641478,-0.92%
9.436 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 15:10:56.643476,+0.33%
57.320 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,2022-10-26 15:10:56.645477,-2.12%
173.900 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,2022-10-26 15:10:56.646478,-2.06%
1 350.000 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,2022-10-26 15:10:56.795187,-0.33%
31.980 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 15:10:56.801182,+0.44%
112.100 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 15:10:56.804184,+1.60%
83.020 ,83.260 ,SANOFI,82.330 ,82.700 ,2022-10-26 15:10:56.809183,+0.89%
41.755 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 15:10:56.824182,+0.64%
13.564 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 15:10:56.835181,+0.24%
